[20:40:20] ⠧ Refining the Approach (esc to cancel, 53s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 9s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 9s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 9s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 9s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 10s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 11s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 12s)
[20:47:32] [?25l⠹ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 13s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 14s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 15s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 16s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 17s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 18s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 19s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] [?25l⠸ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 20s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 21s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 22s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 23s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 24s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 25s)
[20:47:32] [?25l⠴ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 26s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 27s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 28s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 29s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 30s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 31s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 32s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 33s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] [?25l⠼ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 34s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 35s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 36s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠋ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠙ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠹ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠸ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠼ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠴ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠦ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠧ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠇ Examining Antigone's Entry (esc to cancel, 6m 37s)
[20:47:32] ⠏ Examining Antigone's Entry (esc to cancel, 6m 37s)
